span_anchor_teitok_id,span_anchor_chapter,span_offset,beck_dmm_id,beck_greek_lemma,beck_latin_lemma,beck_degree,cardinality,berendes_teitok_id,berendes_teitok_candidates,berendes_degree,berendes_book_num,berendes_chapter_raw,berendes_chapter_keys,berendes_term,desmoulins_page,desmoulins_chapter,desmoulins_term,laguna_book,laguna_page,laguna_chapter,laguna_title,laguna_scan_id,wechel_book,wechel_page,wechel_chapter,wechel_title,wechel_scan_id,mattioli_book,mattioli_chapter_decimal,mattioli_chapter_roman,mattioli_greek,mattioli_latin,ruel_book,ruel_page_scan,ruel_folio,ruel_chapter,ruel_title_latin,ruel_title_vernacular,lusitanus_page,lusitanus_chapter,lusitanus_title,barbaro_book,barbaro_page,barbaro_chapter,barbaro_term,gunther_chapter,gunther_division,gunther_term,wellmann_id,wellmann_book,wellmann_chapter,wellmann_greek_lemma,wellmann_greek_text
e-19,1.11,0,DMM1012,μαλάβαθρον,Malabar,,,e-19,,,1,1.11,1.11,Malabathron,33,Chap. XI,Du malabatre.,Libro primero,20,Cap XI,Del Malabathro,32,Liber primus,11,Cap. XI,De Malabathro,45,,1.11,XI,Μαλάβαθρον,MALABATHRUM,Liber primus,30,0v,Cap XI,De Malabatro,De malabatro,22,Enarratio 11,"De malabathro (malabathrum, folium indicum)",XI,5,2,Malabathrum,,,,w-12,1,12,μαλάβαθρον,μαλάβαθρον
e-20,1.12,0,DMM1013,κασσία,Cassia,,,e-20,,,1,1.12,1.12,Kassia,35,Chap. XII,De la canelle.,Libro primero,21,Cap XII,De la Cassia,33,Liber primus,11,Cap. XII,De Cassia,45,,1.12,XII,Κασσία,CASSIA,Liber primus,30,0v,Cap XII,De Casia,De casia,23,Enarratio 12,"De casia (casia, casia lignea, cinnamomum invalidum)",XII,6,0,Cassia,1.12,div-12,KASSIA,w-13,1,13,κασσία,κασσία
e-21,1.13,0,DMM1014,κινάμωμον,Cinnamon,,,e-21,,,1,1.13,1.13,Zimmt,35,Chap. XIII,Du cinamome.,Libro primero,22,Cap XIII,Del Cinnamomo,34,Liber primus,12,Cap. XIII,De Cinnamomo,46,,1.13,XIII,Κιννάμωμον,CINNAMOMUM,Liber primus,31,5r,Cap XIIII,De Cinnamomo,De cinnamomo,24,Enarratio 13,"De cinnamomo (cinnamomum, rugosum cinnamomum / canella)",XIII,6,0,Cinnamomum,1.13,div-13,KINAMOMON,w-14,1,14,κινάμωμον,κινάμωμον
e-22,1.14,0,DMM1015,ἄμωμον,Nepal cardamom,,,e-22,,,1,1.14,1.14,Amomum,41,Chap. XIIII,De l'amome.,Libro primero,23,Cap XIIII,Del Amomo,35,Liber primus,14,Cap. XIIII,De Amomo,48,,1.14,XIV,Ἄμωμον,AMOMUM,Liber primus,32,0v,Cap XVI,De Amomo,De amomo,27,Enarratio 14,"Amomum (amomum, succedaneum amo mi, radix acori, id est, crassa galanga)",XIIII,7,3,Amomum,1.14,div-14,AMOMON,w-15,1,15,ἄμωμον,ἄμωμον
e-23,1.15,0,DMM1016,κόστος,Costusroot,,,e-23,,,1,1.15,1.15,Kostus,42,Chap. XV,Du coste.,Libro primero,24,Cap XV,Del Costo,36,Liber primus,15,Cap. XV,De Costo,49,,1.15,XV,Κόστος,COSTUS,Liber primus,32,0v,Cap XVII,De Costo,De costo,28,Enarratio 15,"Costus (costum, costus). Falsus costus (hortulana romana, menta romana, menta sarracenica, costus hortulanus / du cocq)",XV,7,3,Costum,1.15,div-15,KOSTOS,w-16,1,16,κόστος,κόστος
e-24,1.16,0,DMM1017,σχοῖνος,Camel hay,,,e-24,,,1,1.16,1.16,Bartgras,43,Chap. XVI,Du ionc odorant.,Libro primero,24,Cap XVI,Del Junco Oloroso,36,Liber primus,15,Cap. XVI,De Iunco odorato,49,,1.16,XVI,Σχοῖνος ἀρωματικός,IUNCUS ODORATUS,Liber primus,33,6r,Cap XVIII,De odorato Junco,De odorato junco,30,Enarratio 16,"De schoeno (iuncus odoratus rotundus, palea camelorum / squinanta)",XVI,7,3,Iuncus odoratus,1.16,div-16,SCHOINOS,w-17,1,17,σχοῖνος,σχοῖνος
e-25,1.17,0,DMM1018,κάλαμος ἀρωματικός,Sweet flag,,,e-25,,,1,1.17,1.17,Kalmus,44,Chap. XVII,De la canne odorante.,Libro primero,25,Cap XVII,Del Calamo Aromatico,37,Liber primus,16,Cap. XVII,De Calamo odorato,50,,1.17,XVII,Κάλαμος ἀρωματικός,CALAMUS ODORATUS,Liber primus,33,6r,Cap XIX,De Calamo odorato,De calamo odorato,31,Enarratio 17,De calamo aromatico (calamus aromaticus),XVII,7,3,Calamus odoratus,,,,w-18,1,18,κάλαμος ἀρωματικός,κάλαμος ἀρωματικός
e-26,1.18,0,DMM1019,βάλσαμον,Mecca balsam,,,e-26,,,1,1.18,1.18,Balsam,46,Chap. XVIII,Du baume.,Libro primero,26,Cap XVIII,Del Balsamo,38,Liber primus,16,Cap. XVIII,De Balsamo,50,,1.18,XVIII,Βάλσαμον,BALSAMUM,Liber primus,33,6r,Cap XX,De Balsamo,De balsamo,33,Enarratio 18,"De balsamo (balsamum, liquor balsami, lignum balsami, fructus balsami)",XVIII,7,3,Balsamus,1.18,div-17,BALSAMON,w-19,1,19,βάλσαμον,βάλσαμον
e-27,1.19,0,DMM1020,ἀσπάλαθος,Camel’s-thorn,,,e-27,,,1,1.19,1.19,Aspalathos,48,Chap. XIX,De l'aspalathe.,Libro primero,28,Cap XIX,Del Aspalato,40,Liber primus,18,Cap. XIX,De Aspalatho,52,,1.19,XIX,Ἀσπάλαθος,ASPALATHUS,Liber primus,34,0v,Cap XXIII,De aspalatho,De aspalatho,36,Enarratio 19,"De aspalatho (aspalathus, lignum rhodium, lignum aloes rhodiorum, cortex bugiae)",XVIIII,8,0,Aspalathus,1.19,div-18,ASPALATHOS,w-20,1,20,ἀσπάλαθος,ἀσπάλαθος
e-28,1.20,0,DMM1021,βρύον,Tree moss,,,e-28,,,1,1.20,1.20,Bryon,48,Chap. XX,De la mousse d'arbre.,Libro primero,28,Cap XX,Del Musco de los Arboles,40,Liber primus,19,Cap. XX,De Musco,53,,1.20,XX,Βρύον,MUSCUS,Liber primus,35,7r,Cap XXIIII,De musco,De musco,37,Enarratio 20,"De musco arborum (bryum, muscus, usnea, arborum muscus)",XX,8,0,Bryon,1.20,div-19,BRUON,w-21,1,21,βρύον,βρύον
e-29,1.21,0,DMM1022,ἀγάλοχον,Aloewood/Eagle-wood,,,e-29,,,1,1.21,1.21,Agallochon,51,Chap. XXI,De l'agalloche ou boi d'aloes.,Libro primero,30,Cap XXI,Del Agaloco,42,Liber primus,19,Cap. XXI,De Agallocho,53,,1.21,XXI,Ἀγάλλοχον,AGALLOCHUM,Liber primus,35,7r,Cap XXV,De agallocho,De agallocho,40,Enarratio 21,"De agallocho (lignum aloes, lignum aquilae)",XXI,8,0,Agallochum,1.21,div-20,AGALLOCHON,w-22,1,22,ἀγάλοχον,ἀγάλοχον
e-30,1.22,0,DMM1023,νάσκαφθον,Nascaphthon,,,e-30,,,1,1.22,1.22,Naskaphthon,52,Chap. XXII,Du narcaphthe.,Libro primero,30,Cap XXII,Del Nascaphto,42,Liber primus,19,Cap. XXII,De Nascaphtho,53,,1.22,XXII,Νάρκαφθον,NARCAPHTHUM,Liber primus,35,7r,Cap XXVI,De narcaphto,De narcaphto,41,Enarratio 22,"De narcaphto (narcaphthum, nascaphthum, thymiana)",XXII,9,4,Nascaphthum,,,,w-23,1,23,νάσκαφθον,νάσκαφθον
e-31,1.23,0,DMM1024,κάγκαμον,Bisabol,,,e-31,,,1,1.23,1.23,Kankamon,52,Chap. XXIII,Du cancame.,Libro primero,30,Cap XXIII,Del Cancamo,42,Liber primus,19,Cap. XXIII,De Cancamo,53,,1.23,XXIII,Κάγκαμον,CANCAMUM,Liber primus,35,7r,Cap XXVII,De Cancamo,De cancamo,42,Enarratio 23,De cancamo (cancamum),XXIII,9,4,Cancamum,1.23,div-21,KANKAMON,w-24,1,24,κάγκαμον,κάγκαμον
e-32,1.24,0,DMM1025,κῦφι,Cyphi,,,e-32,,,1,1.24,1.24,Kyphi,54,Chap. XXIIII,De cyphi.,Libro primero,31,Cap XXIIII,Del Cyphi,43,Liber primus,20,Cap. XXIIII,De Cyphi,54,,1.24,XXIV,Κῦφι,CYPHI,Liber primus,35,7r,Cap XXVIII,De Cyphi,De cyphi,43,Enarratio 24,"De cyphi (cyphi, confectio odorata dijs dicata)",XXIIII,9,4,Cyphi,,,,w-25,1,25,κῦφι,κῦφι
e-33,1.25,0,DMM1026,κρόκος,Saffron,,,e-33,,,1,1.25,1.25,Safran,54,Chap. XXV,Du saffran.,Libro primero,31,Cap XXV,Del Açafran,43,Liber primus,20,Cap. XXV,De Croco,54,,1.25,XXV,Κρόκος,CROCUM,Liber primus,36,0v,Cap XXIX,De croco,De croco,45,Enarratio 25,De croco (crocus),XXV,9,4,Crocum,1.25,div-22,KROKOS,w-26,1,26,κρόκος,κρόκος
e-34,1.26,0,DMM1027,κροκόμαγμα,Saffron residuum,,,e-34,,,1,1.26,1.26,Krokomagma,54,Chap. XXVI,Du crocomagme.,Libro primero,32,Cap XXVI,Del Crocomagma,44,Liber primus,21,Cap. XXVI,De Crocomagmate,55,,1.26,XXVI,Κροκόμαγμα,CROCOMAGMA,Liber primus,36,0v,Cap XXX,De Crocomagnate,De crocomagnate,46,Enarratio 26,"De crocomagmate (crocomagma, fex olei crocini)",XXVI,9,4,Crocomagma,,,,w-27,1,27,κροκόμαγμα,κροκόμαγμα
e-35,1.27,0,DMM1028,ἑλένιον,Elecampane,,,e-35,,,1,1.27,1.27,Alant,55,Chap. XXVII,De l'aunee.,Libro primero,32,Cap XXVII,Del Helenio,44,Liber primus,22,Cap. XXVII,De Helenio,56,,1.27,XXVII,Ἑλένιον,HELENIUM,Liber primus,37,8r,Cap XXXI,De Helenio,De helenio,46,Enarratio 27,"De enula campana (helentium, enula campanica, enula campatta, terminalum, verbascum idaeum / enula campana)",XXVII,9,4,Helenium,1.27,div-23,ELENION,w-28,1,28,ἑλένιον,ἐλένιον
e-36,1.28,0,DMM1029,ἑλένιον ἄλλο,Another elecampane,,,e-36,,,1,1.28,1.28,Aegyptischer Alant,55,Chap. XXVII,De l'aunee.,,,,,,Liber primus,22,Cap. XXVIII,De Helenio Aegyptio,56,,,,,,Liber primus,37,8r,Cap XXXII,De altero Helenio,De altero helenio,46,Enarratio 27,"De enula campana (helentium, enula campanica, enula campatta, terminalum, verbascum idaeum / enula campana)",XXVIII,9,4,Helenium Aegyptium,1.28,div-24,ELENION AIGUPTION,w-29,1,29,ἑλένιον ἄλλο,ἐλένιον ἄλλο
e-37,1.29,0,DMM1030,ἔλαιον,Olive oil,,,e-37,,,1,1.29,1.29,Oel aus unreifen Oliven,56,Chap. XXVIII,"De l'huile omphacin, et de tout huile en general.",Libro primero,33,Cap XXVIII,Del Azeyte,45,Liber primus,22,Cap. XXIX,De oleo omphacino,56,,1.28,XXVIII,"Ὀμφάκινον, καὶ πᾶν ἔλαιον","OMPHACINUM, ET OMNE OLEUM",Liber primus,37,8r,Cap XXXIII,De omphacino oleo,De omphacino oleo,48,Enarratio 28,De oleo (oleum),XXIX,10,0,Omphacinum,1.29,div-25,ELAION OMOTRIBES,w-30,1,30,ἔλαιον,ἔλαιον
e-37,1.29,1,DMM1030,ἔλαιον,Olive oil,,,e-38,,,1,1.30,1.30,Gew?hnliches Oel,56,Chap. XXVIII,"De l'huile omphacin, et de tout huile en general.",,,,,,Liber primus,23,Cap. XXX,De oleo communi,57,,,,,,,,,,,,48,Enarratio 28,De oleo (oleum),XXX,10,0,Oleum ex Drupa,1.29,div-25,ELAION OMOTRIBES,w-30,1,30,ἔλαιον,ἔλαιον
e-37,1.29,2,DMM1030,ἔλαιον,Olive oil,,,e-39,,,1,1.31,1.31,Oel des wilden Oelbaumes,57,Chap. XXIX,De l'huile d'olives sauvages.,,,,,,Liber primus,23,Cap. XXXI,De oleo sylvestris olivae,57,,1.29,XXIX,Ἔλαιον τῆς ἀγριελαίης,OLEUM SYLVESTRIS OLIVAE,Liber primus,38,v,Cap XXXIIII,De oleo sylvestris oliuae,De oleo sylvestris oliuae,49,Enarratio 29,De oleo oleastri (oleum oleastri),XXXI,10,0,Oleum ex oleastro,1.29,div-25,ELAION OMOTRIBES,w-30,1,30,ἔλαιον,ἔλαιον
e-37,1.29,3,DMM1030,ἔλαιον,Olive oil,,,e-40,,,1,1.32,1.32,Weisses Oel,57,Chap. XXIX,De l'huile d'olives sauvages.,,,,,,Liber primus,23,Cap. XXXII,Oleum candidum,57,,,,,,,,,,,,49,Enarratio 29,De oleo oleastri (oleum oleastri),XXXII,10,0,Oleum candidum,1.29,div-25,ELAION OMOTRIBES,w-30,1,30,ἔλαιον,ἔλαιον
e-37,1.29,4,DMM1030,ἔλαιον,Olive oil,,,e-41,,,1,1.33,1.33,Sikyonisches Oel,57,Chap. XXX,De l'huile cycionien.,,,,,,Liber primus,24,Cap. XXXIII,De Sicyonio oleo,58,,1.30,XXX,Σικυώνιον ἔλαιον,SICYONIUM OLEUM,Liber primus,38,v,Cap XXXV,De Sicyonio,De sicyonio,49,Enarratio 30,"De oleo albo sicyonio dicto (sicyonium oleum, oleum album ê sicyone civitate)",XXXIII,10,0,Oleum Sicyonium,1.29,div-25,ELAION OMOTRIBES,w-30,1,30,ἔλαιον,ἔλαιον
e-37,1.29,5,DMM1030,ἔλαιον,Olive oil,,,e-42,,,1,1.34,1.34,Der Schmutz der B?der,57,Chap. XXXI,Des raclures.,,,,,,Liber primus,24,Cap. XXXIIII,Strigmenta à balneis,58,,1.31,XXXI,Ῥύπος,STRIGMENTUM,Liber primus,38,v,Cap XXXVI,De strigmentis balnearum,De strigmentis balnearum,49,Enarratio 30,"De oleo albo sicyonio dicto (sicyonium oleum, oleum album ê sicyone civitate)",XXXIIII,10,0,Strigmenta à balneis,1.29,div-25,ELAION OMOTRIBES,w-30,1,30,ἔλαιον,ἔλαιον
e-37,1.29,6,DMM1030,ἔλαιον,Olive oil,,,e-43,,,1,1.35,1.35,Der Schmutz aus den Ringpl?tzen,57,Chap. XXXI,Des raclures.,,,,,,Liber primus,24,Cap. XXXV,Strigmenta palaestrica,58,,,,,,,,,,,,49,Enarratio 30,"De oleo albo sicyonio dicto (sicyonium oleum, oleum album ê sicyone civitate)",XXXV,10,0,Strigmenta palaestritarum,1.29,div-25,ELAION OMOTRIBES,w-30,1,30,ἔλαιον,ἔλαιον
e-37,1.29,7,DMM1030,ἔλαιον,Olive oil,,,e-44,,,1,1.36,1.36,Der Schmutz der Turnpl?tze,57,Chap. XXXI,Des raclures.,,,,,,Liber primus,24,Cap. XXXVI,Strigmenta gymnasiorum,58,,,,,,,,,,,,49,Enarratio 30,"De oleo albo sicyonio dicto (sicyonium oleum, oleum album ê sicyone civitate)",XXXVI,10,0,Strigmenta à partibus gymnasiorum,1.29,div-25,ELAION OMOTRIBES,w-30,1,30,ἔλαιον,ἔλαιον
e-45,1.37,0,DMM1031,ἐλαιόμελι,Olive tree sweet gum,,,e-45,,,1,1.37,1.37,Honig?l,58,Chap. XXXII,De elaeomeli.,Libro primero,35,Cap XXIX,Del Oleomiel,47,Liber primus,25,Cap. XXXVII,De Elaeomelite,59,,1.32,XXXII,Ἐλαιόμελι,ELAEOMELI,Liber primus,38,v,Cap XXXVII,De Elaeomelite,De elaeomelite,50,Enarratio 31,"De elaeomelle (elaeomel, oleum palmarum)",XXXVII,10,0,Elaeomeli,1.38,div-33,KIKINON ELAION,w-31,1,31,ἐλαιόμελι,ἐλαιόμελι
e-46,1.38,0,DMM1032,κίκινον ἔλαιον,Castor oil,,,e-46,,,1,1.38,1.38,Ricinus?l,58,Chapitre XXXIII,De l'huile de la paulme de Christ.,Libro primero,35,Cap XXX,"Del Oleo Ricino, o Cicino",47,Liber primus,25,Cap. XXXVIII,De Cicino oleo,59,,1.33,XXXIII,Κίκινον ἔλαιον,CICINUM OLEUM,Liber primus,39,9r,Cap XXXVIII,De Cicino oleo,De cicino oleo,50,Enarratio 32,"De oleo cicino (oleum cicinum, oleum ricininum, oleum de cherua, oleum de cataputia matori, de pentadactylo)",XXXVIII,11,5,Oleum cicinum,1.39,div-34,ELAION AMYGDALINON,w-32,1,32,κίκινον ἔλαιον,κίκινον
e-47,1.39,0,DMM1033,ἀμυγδάλινον ἔλαιον,Almond oil,,,e-47,,,1,1.39,1.39,Mandel?l,59,Chap. XXXIIII,De l'huile d'amandes.,Libro primero,36,Cap XXXI,Del Azeyte de Almendras,48,Liber primus,26,Cap. XXXIX,De Amygdalino oleo,60,,1.34,XXXIV,Ἀμυγδάλινον ἔλαιον,AMYGDALINUM OLEUM,Liber primus,39,9r,Cap XXXIX,De amygdalino oleo,De amygdalino oleo,51,Enarratio 33,De oleo amygdalarum (oleum amygdalarum amararum,XXXIX,11,5,Oleum amygdalinum,1.40,div-35,BALANINON ELAION,w-33,1,33,ἀμυγδάλινον ἔλαιον,ἀμυγδάλινον
e-48,1.40,0,DMM1034,βαλάνινον,Oil from the nut of the ben tree,,,e-48,,,1,1.40,1.40,Behen?l,59,Chap. XXXV,"De l'huile de ben, sesamin, et de noix.",Libro primero,36,Cap XXXII,"Del Oleo Balanino, Sesamino, y de Nuezes",48,Liber primus,26,Cap. XL,De Balanino oleo,60,,1.35,XXXV,Βαλάνινον ἔλαιον,BALANINUM OLEUM,Liber primus,39,9r,Cap XL,De Balanino oleo,De balanino oleo,52,Enarratio 34,"De oleo balanino (oleum balaninum, oleum de myrobalano, unguentaria, oleum de muce sive glande ungunentaria, oleum de ben, oleum myrepsicum). De oleo sesamino (oleum sesaminum, oleum e sesamo semine). De oleo nucis (oleum nucis inglandis, oleum nucis basilicae, oleum nucis)",XL,11,5,Oleum balaninum,1.41,div-36,ELAION SESAMINON KAI KARUINON,w-34,1,34,βαλάνινον,βαλάνινον
e-48,1.40,1,DMM1034,βαλάνινον,Oil from the nut of the ben tree,,,e-49,,,1,1.41,1.41,Sesam- und Wallnuss?l,60,Chap. XXXVI,"De l'huile de iusquiame, de la graine de thymelee, de saffran sauvage, des semences de Réfort, de Nielle &amp; de Moutarde.",,,,,,Liber primus,26,Cap. XLI,Olea Sesaminum et Caryinum,60,,,,,,Liber primus,39,9r,Cap XLI,De Hyosciamnio oleo,De hyosciamnio oleo,52,Enarratio 34,"De oleo balanino (oleum balaninum, oleum de myrobalano, unguentaria, oleum de muce sive glande ungunentaria, oleum de ben, oleum myrepsicum). De oleo sesamino (oleum sesaminum, oleum e sesamo semine). De oleo nucis (oleum nucis inglandis, oleum nucis basilicae, oleum nucis)",XLI; XLII,11,5,Olleum sesaminum; Oleum caryinum,1.41,div-36,ELAION SESAMINON KAI KARUINON,w-34,1,34,βαλάνινον,βαλάνινον
e-50,1.42,0,DMM1035,ὑοσκυάμινον,Oil of henbane,,,e-50,,,1,1.42,1.42,Bilsen?l,60,Chap. XXXVII,De l'huile de meurte.,Libro primero,37,Cap XXXIII,"De Oleo de Hyoscyamo, de Grano Gnidio, de Cartamo",49,Liber primus,27,Cap. XLII,De Hyoscyamino oleo,61,,1.36,XXXVI,Ὑοσκυάμινον ἔλαιον,HYOSCYAMINUM OLEUM,Liber primus,40,0v,Cap XL,De oleo egrano cnidio,De oleo egrano cnidio,53,Enarratio 35,"De oleo hyoscyamino (oleum hyoscyaminum, oleum Apollinaris herba, oleum alterci herbae)",XLIII,11,5,Oleum hyoscyaminum,1.43,div-38,KNIDELAION,w-35,1,35,ὑοσκυάμινον,ὑοσκυάμινον
e-51,1.43,0,DMM1036,Κνιδίου κόκκου,Oil from berries of spurge flax,,,e-51,,,1,1.43,1.43,Knidisches Oel,,,,,,,,,Liber primus,27,Cap. XLIII,De Gnidico oleo,61,,,,,,Liber primus,40,0v,Cap XLIII,De cnicino oleo,De cnicino oleo,44,Enarratio 36,"De oleo de grano cnidio sive gnidio (oleum de grano cnidio, oleum de grano gnidio, oleum de cocco gnidio, oleum de thimelea)",XLIIII,11,5,Oleum gnidium,1.44,div-39,KNIKELAION,w-36,1,36,Κνιδίου κόκκου,"Κνιδίου κόκκου, ἔλαιον σκευάζεται διὰ τοῦ"
e-51,1.43,1,DMM1036,Κνιδίου κόκκου,Oil from berries of spurge flax,,,e-52,,,1,1.44,1.44,Saflor?l,,,,,,,,,Liber primus,27,Cap. XLIIII,De Cnicino oleo,61,,,,,,,,,,,,44,Enarratio 37,"De oleo cnicino (oleum cnicimum, oleum e grano cnico, oleum e carthamo, oleum e croco hortulano)",XLV,11,5,Oleum cnicium,1.44,div-39,KNIKELAION,w-36,1,36,Κνιδίου κόκκου,"Κνιδίου κόκκου, ἔλαιον σκευάζεται διὰ τοῦ"
