chapter_key,berendes_teitok_id,berendes_term,dmm_id,source_id,desmoulins_page,desmoulins_chapter,desmoulins_term,laguna_page,laguna_chapter,laguna_title,laguna_scan_id,laguna_book,wechel_page,wechel_chapter,wechel_title,wechel_scan_id,wechel_book,ruel_page_scan,ruel_folio,ruel_chapter,ruel_title_latin,ruel_title_vernacular,ruel_book,lusitanus_page,lusitanus_chapter,lusitanus_title,barbaro_page,barbaro_chapter,barbaro_term,barbaro_book,matthiolo_book,matthiolo_chapter,matthiolo_greek,matthiolo_latin,gunther_chapter,gunther_division,gunther_term,wellmann_id,wellmann_book,wellmann_chapter,wellmann_greek_lemma,beck_greek_lemma,beck_latin_lemma
2.1,e-196,Seeigel,DMM2001,DMM20011; it189,187,Chap. I,De l'herisson de mer.,123,Cap I,Del Erizo marino,135,Libro secundo,89,Cap. I,De Echino marino,123,Liber secundus,81,30r,Cap I,De aquatili echino,De aquatili echino,Liber secundus,163,Enarratio 1,"De echino marino (echinus, erinaceus marinus, erinaceus aquatilis / ericio marino)",48,0,Erinaceus marinus,CCI,,2.1,Ἐχῖνος θαλάσσιος,ECHINUS MARINUS,2.1,div-167,ECHINOS THALASSIOS,w-131,2,1,ἐχῖνος θαλάσσιος,ἐχῖνος θαλάσσιος,Sea urchin
2.2,e-197,Landigel,DMM2002,DMM20021; it190,188,Chap. II,De l'herisson de terre.,123,Cap II,Del Erizo terrestre,135,Libro secundo,90,Cap. II,De terrestri echino,124,Liber secundus,81,30r,Cap II,De terrestri herinaceo,De terrestri herinaceo,Liber secundus,164,Enarratio 2,"De erinaceo terrestri (echinus terrestris, erinaceus terrestris / ericcio terrestre)",48,0,Erinaceus terrestris,CCII,,2.2,Ἐχῖνος χερσαῖος,ECHINUS TERRESTRIS,2.2,div-168,ECHINOS CHERSAIOS,w-132,2,2,ἐχῖνος χερσαῖος,ἐχῖνος χερσαῖος,Hedgehog
2.3,e-198,Seepferdchen,DMM2003,DMM20031; it191,189,Chap. III,Du cheval marin.,124,Cap III,Del Hippocampo,136,Libro secundo,90,Cap. III,De Hippocampo,124,Liber secundus,81,30r,Cap III,De hippocampo,De hippocampo,Liber secundus,164,Enarratio 3,De hippocampo (hippocampus / draconeto),48,0,Hippocampus,CCIII,,2.3,Ἱππόκαμπος,HIPPOCAMPUS,2.3,div-169,HIPPOKAMPOS,w-133,2,3,ἱππόκαμπος,ἱππόκαμπος,Sea horse
2.4,e-199,Purpurschnecke,DMM2004,DMM20041; it192,190,Chap. IIII,"Des pourpres, cornets de mer, et de l'interieure partie nommee cionia.",125,Cap IIII,"De la Purpura, y de la Bozina",137,Libro secundo,90,Cap. IIII,De Purpura,124,Liber secundus,81,30r,Cap IIII,De purpura,De purpura,Liber secundus,165,Enarratio 4,"De purpuris et buccinis (purpura, buccina concharum genera)",48,0,Purpurae,CCIIII,,2.4,"Πορφύρα, Κέρυκες, Κιόνια","PURPURA, BUCCINA, CIONIA",2.4,div-170,PORPHURA,w-134,2,4,πορφύρα,πορφύρα,Murex
2.5,e-200,Trompetenschnecke,,DMM20051; it193,190,Chap. IIII,"Des pourpres, cornets de mer, et de l'interieure partie nommee cionia.",,,,,,90,Cap. V,De Buccinis,124,Liber secundus,81,30r,Cap V,De buccinis,De buccinis,Liber secundus,165,Enarratio 4,"De purpuris et buccinis (purpura, buccina concharum genera)",49,23,Buccina,CCV,,,Περἰ Κηρύκων,,2.5,div-171,KUREKES,,,,,,
2.6,e-201,Kionion,,DMM20061; it194,190,Chap. IIII,"Des pourpres, cornets de mer, et de l'interieure partie nommee cionia.",,,,,,90,Cap. VI,De Cionijs,124,Liber secundus,82,0v,Cap VI,De Joniis,De joniis,Liber secundus,165,Enarratio 4,"De purpuris et buccinis (purpura, buccina concharum genera)",49,23,Ionia,CCVI,,,Περἰ Κιονίων,,2.6,div-172,IONIA,,,,,,
2.7,e-202,Miesmuschel,DMM2005,DMM20071; it195,191,Chap. V,Des moules.,126,Cap V,De los Mitulos,138,Libro secundo,90,Cap. VII,De Mytulis seu musculis,124,Liber secundus,82,0v,Cap VII,De myacibus,De myacibus,Liber secundus,166,Enarratio 5,"De mytulis (myaces, mytuli, musculi)",49,23,Mituli,CCVII,,2.5,Μύακες,MITULI,2.7,div-173,MUAKES,w-135,2,5,μύακες Ποντικοί,μύακες Ποντικοί,Pontic sea mussels
2.8,e-203,Plattmuscheln,DMM2006,DMM20081; it196,192,Chap. VI,Des tellines.,126,Cap VI,De la Telinas,138,Libro secundo,91,Cap. VIII,De Tellinis,125,Liber secundus,82,0v,Cap VIII,De tellinis,De tellinis,Liber secundus,167,Enarratio 6,De tellinis (tellinae),49,23,Tellinae,CCVIII,,2.6,Τελλῖναι,TELLINAE,,,,w-136,2,6,τελλῖναι,τελλῖναι,Tellina
2.9,e-204,Chienmuschel,DMM2007,DMM20091; it197,192,Chap. VII,Des chames.,126,Cap VII,De las Camas,138,Libro secundo,91,Cap. IX,De Chamis,125,Liber secundus,82,0v,Cap IX,De chamis,De chamis,Liber secundus,167,Enarratio 7,De chamis (chamae),50,0,Chamae,CCIX,,2.7,Χῆμαί,CHAMAE,2.9,div-174,CHAMAI,w-137,2,7,πορφύρας πώματα,πορφύρας πώματα,Opereula of murex
2.X,e-401,Iberis,,,358,Chap. CLXX,Du nasitort sauvage.,,,,,,,,,,,134,0v,Cap CXCIIII,De ranunculo,De ranunculo,Liber secundus,275,Enarratio 170,"De lepidio (lepidium, biberis, nasturtium sylvestre)",,,,,,,,,,,,,,,,,
3.1,e-414,L?rchenschwamm,DMM3001,DMM30011; it407,371,Chap. I,De l'agaric.,261,Cap I,Del agarico,273,Libro tercero,170,Cap. I,De Agarico,204,Liber tertius,140,0v,Cap I,De agarico,De agarico,Liber tertius,283,Enarratio 1,De agarico (agaricum),89,43,Isatis altera,CCCCXXII,,3.1,Ἀγαρικόν,AGARICUM,3.1,div-373,AGARICON,w-317,2,186,ἀγαρικόν,ἀγαρικόν,Agaric
3.2,e-415,Rhapontik,DMM3002,DMM30021; it408,372,Chap. II,Du rhapontique.,262,Cap II,Del Reopontico,274,Libro tercero,171,Cap. II,De Rha,205,Liber tertius,141,60r,Cap II,De rapontico,De rapontico,Liber tertius,284,Enarratio 2,"De rhapontico (rhaponticum, rhecoma, radix ponti)",89,43,Arabis,CCCCXXIII,,3.2,"Ῥᾶ, ῥῆον",RHAPONTICUM,3.2,div-374,RA,w-318,3,0,ῥᾶ,ῥᾶ,Rhubarb
3.3,e-416,Enzian,DMM3003,DMM30031; it409,376,Chap. III,De la gentiane.,264,Cap III,De la gentiana,276,Libro tercero,172,Cap. III,De Gentiana,206,Liber tertius,141,60r,Cap III,De gentiana,De gentiana,Liber tertius,287,Enarratio 3,De gentiana (gentiana / gentiane),90,0,Agaricum,CCCCXXV,,3.3,Γεντιανή,GENTIANA,3.3,div-375,GENTIANE,w-319,3,1,γεντιανή,γεντιανή,Gentian
3.4,e-417,Osterluzei,DMM3004,DMM30041; it410,377,Chap. IIII,De l'aristolochie.,265,Cap IIII,De la Aristoloquia,277,Libro tercero,173,Cap. IIII,De Aristolochia rotunda,207,Liber tertius,142,0v,Cap IIII,De aristolochia rotunda,De aristolochia rotunda,Liber tertius,288,Enarratio 4,"De aristolochia (aristolochia, malum terrae, erraticum malum / de la sarasine)",90; 91,0; 44,Aristolochia; Aristolochia altera,CCCCXXVIII; CCCCXXIX; CCCCXXX,,3.4,Ἀριστολοχία,ARISTOLOCHIA,3.4,div-376,ARISTOLOCHIA STROGGOLE,w-320,3,2,ἀριστολόχεια,ἀριστολόχεια,Birthwort
3.5,e-418,S?ssholz,DMM3005,DMM30051; it411,380,Chap. V,De la rigalice.,266,Cap V,De la Regaliza,278,Libro tercero,174,Cap. VII,De Glycyrrhiza,208,Liber tertius,143,61r,Cap VI,De dulci radice,De dulci radice,Liber tertius,289,Enarratio 5,"De glycyrrhiza (glycyrrhiza, dulcis radix, liquiritia / erculisse, ou rigolisse)",91,44,Glycyrrhiza,CCCCXXXI,,3.5,Γλυκύρριζα,DULCIS RADIX,3.7,div-379,GLUKORIZA,w-321,3,3,γλυκύρριζα,γλυκύρριζα,Licorice
3.6,e-419,Grosses Kentaurion,DMM3006,DMM30061; it412,381,Chap. VI,De la grande centauree.,268,Cap VI,De la Centaurea mayor,280,Libro tercero,174,Cap. VIII,De Centaurio maiore,208,Liber tertius,143,61r,Cap VII,De centaurio magno,De centaurio magno,Liber tertius,289,Enarratio 6,"De centaurio maiore (centaurium maius, centaurea maior, rhaponticum officinarum, rheuponticum commune / rhepontico)",91,44,Centaurium maius,CCCCXXXII,,3.6,Κενταύριον μέγα,CENTAURIUM MAGNUM,3.8,div-380,KENTAURION MAKRON,w-322,3,4,κενταύριον τὸ μέγα,κενταύριον τὸ μέγα,Centaury
3.7,e-420,Kleines Kentaurion,DMM3007,DMM30071; it413,382,Chap. VII,De la petite centauree.,268,Cap VII,De la Centaurea menor,280,Libro tercero,175,Cap. IX,De Centaurio minore,209,Liber tertius,144,0v,Cap VIII,De centaurio minore,De centaurio minore,Liber tertius,290,Enarratio 7,"De centaurio minori (centaurium minus, centaurea minor, fel terrae, febrifuga / fiel de terre centore)",91,44,Centaurium minus,CCCCXXXIII,,3.7,Κενταύριον μικρόν,CENTAURIUM MINUS,3.9,div-381,KENTAURION MIKRON,w-323,3,5,κενταύρειον τὸ λεπτόν ἢ μικρόν,κενταύρειον τὸ λεπτόν ἢ μικρόν,Feverfew
3.8,e-421,Weisses Chamaileon,DMM3008,DMM30081; it414,383,Chap. VIII,Du chameleon blanc.,269,Cap VIII,Del camaleon blanco,281,Libro tercero,176,Cap. X,De Chamaeleone albo,210,Liber tertius,144,0v,Cap IX,De chamaeleone albo,De chamaeleone albo,Liber tertius,290,Enarratio 8,"De chamaeleone albo (chamaeleon albus, carduus varius, carduus suarius, carduus Mariae, carduus Marianus / cardon mariano)",91,44,Chamaeleon albus,CCCCXXXIIII,,3.8,Χαμαιλέων λευκός,CHAMAELEON ALBUS,3.10,div-382,CHAMAILEON LEUKOS,w-324,3,6,χαμαιλέων λευκός,χαμαιλέων λευκός,Pine thistle
3.9,e-422,Schwarzes Chamaileon,DMM3009,DMM30091; it415,383,Chap. IX,Du chameleon noir.,270,Cap IX,Del camaleon negro,282,Libro tercero,177,Cap. XI,De Chamaeleone nigro,211,Liber tertius,145,62r,Cap X,De Chamaeleone nigro,De chamaeleone nigro,Liber tertius,291,Enarratio 9,"De chamaeleone nigro (chamaeleon niger, carduus niger, vennilagum)",91,44,Chamaeleon niger,CCCCXXXV,,3.9,Χαμαιλέων μέλας,CHAMAELEON NIGER,3.11,div-383,CHAMAILEON MELAS,w-325,3,7,[χαμαιλέων] ὁ μέλας,[χαμαιλέων] ὁ μέλας,Chameleon thistle
4.1,e-582,Kestron,DMM4001; DMM4101; DMM4002,DMM40011; it574,519,Chap. I,De la betoine.,375,Cap I,Del Cestro,387,Libro quarto,245,Cap. I,De Vettonica,279,Liber quartus,195,87r,Cap I,De betonica,De betonica,Liber quartus,372,Enarratio 1,"In Dioscoridis Anazarbei de medica materia, librum quartum, enarrationes doctoris Amati Lusitani medici in Italia celebratissimi. De betonica (cestron, betonica, psychotrophon, vetonica, serratula / betoine, ou de la betosne)",110,0,Betonica,DCVIII,,4.1,Κέστρον,BETONICA,4.1; 4.102,div-545; div-640,KESTRON; STRATIOTES O EN TOIS UDASIN,w-477,4,2,βρεττανική,βρεττανική,Water dock
4.2,e-583,Bretannika,DMM4002; DMM4003,DMM40021; it575,520,Chap. II,De britanica.,376,Cap II,De la Britanica,388,Libro quarto,246,Cap. II,De Britannica,280,Liber quartus,196,0v,Cap II,De bretanica,De bretanica,Liber quartus,373,Enarratio 2,"De britannica (britannica, bistorta). Secunda bistorta (heptaphyllon, septemfolium, bistorta secunda, tormentilla)",110,0,Britanica,DCIX,,4.2,Βρετ<τ>ανική,BRITANICA,4.2,div-546,BETTONIKE,w-478,4,3,λυσιμάχειος,λυσιμάχειος,Loosestrife
4.3,e-584,Lysimachion,DMM4003; DMM4004,DMM40031; it576,522,Chap. III,De lysimachia.,377,Cap III,De la Lysimachia,389,Libro quarto,246,Cap. III,De Lysimachia,280,Liber quartus,196,0v,Cap IIII,De lysimachia,De lysimachia,Liber quartus,374,Enarratio 3,"De lysimachia (lysimachia, salicaria)",111,54,Lysimachion,DCXI,,4.3,Λυσιμάχιον,LYSIMACHIA,4.3,div-547,LUSIMACHION,w-479,4,4,πολύγονον ἄρρεν,πολύγονον ἄρρεν,Knotgrass
4.4,e-585,M?nnliches Polygonon,DMM4004; DMM4005,DMM40041; it577,523,Chap. IIII,De la renouee.,378,Cap IIII,Del polygono macho,390,Libro quarto,247,Cap. IIII,De Polygono mare,281,Liber quartus,196,0v,Cap V,De sanguinaria ceu polygono,De sanguinaria ceu polygono,Liber quartus,375,Enarratio 4,"De polygono masculo (polygonon centinodia, centumnodia, seminalis herba, corrigiola, proserpinaca, sanguinaria, sanguinalis / herba des innocens)",111,54,Poligonon mas,DCXII,,4.4,Πολύγονον,SANGUINARIA,4.4,div-548,POLUGONON ARREN,w-480,4,5,πολύγονον θῆλυ,πολύγονον θῆλυ,Mare’s tail
4.5,e-586,Weibliches Polygonon,DMM4005; DMM4006,DMM40051; it578,523,Chap. IIII,De la renouee.,379,Cap V,Del polygono hembra,391,Libro quarto,247,Cap. V,De Polygono foemina,281,Liber quartus,197,88r,Cap VI,De sanguinaria foemina,De sanguinaria foemina,Liber quartus,375,Enarratio 5,"De polygono foemina (polygonon foemina, sanguinalis foemina, sanguinaria, corrigiola foemina, entinodia foemina)",111,54,Polygonon foemina,DCXIII,,4.5,Πολυγονάτον,POLYGONATUM,4.5,div-549,POLUGONON THELU,w-481,4,6,πολυγόνατον,πολυγόνατον,P. officinale
4.6,,,,DMM40061; it579,524,Chap. V,Du genoillet.,379,Cap VI,Del Polygonato,391,Libro quarto,247,Cap. VI,De Polygonato,281,Liber quartus,197,88r,Cap VII,De polygonato,De polygonato,Liber quartus,375,Enarratio 6,"De polygonato (polygonatum, geniculata fraxinella, secacul, sigillum salamonis, sigillum Mariae / signet de Salomon)",111,54,Polygonaton,DCXIIII,,,πολυγόνατον,,,,,,,,,,
4.7,e-587,Immergr?n,DMM4006; DMM4007,DMM40071; DMM40072; it580; it581,525,Chap. VI,De la pervanche ou clematis.,379; 380,Cap VII; Cap VIII,"De la Clematide; De otra clematide, Ilamada Clematitide en Griego",391; 392,Libro quarto,248,Cap. VII,De Clematide,282,Liber quartus,197,88r,Cap VIII,De clematide,De clematide,Liber quartus,376,Enarratio 7,"De clematide (clematis, vincapervinca / du liseron)",111,54,Clematis,DCXV,,4.6; 4.7,Κληματίς; Κληματίς ἑτέρα,CLEMATIS; CLEMATIS ALTERA,4.6; 4.7,div-550; div-551,POLUGONATON; KLEMATIS,w-482,4,7,κληματίς,κληματίς,Periwinkle
4.8,e-588,Polemonion,DMM4008,DMM40081; it582,525,Chap. VII,De la seconde espece de pervanche.,381,Cap IX,De la polemonia,393,Libro quarto,248,Cap. VIII,De Polemonia,282,Liber quartus,198,0v,Cap X,De polemonia,De polemonia,Liber quartus,377,Enarratio 9,"De polemonio (polemonium, ruta capraria / ruta capraria)",111,54,Polemonion,DCXVII,,4.8,Πολεμώνιον,POLEMONIA,4.8,div-552,POLEMONION,w-483,4,8,πολεμώνιον,πολεμώνιον,Jacob’s ladder
4.9,e-589,Felsensymphyton,DMM4009,DMM40091; it583,526,Chap. VIII,De polemonia.,381,Cap X,Del Symphyto petreo,393,Libro quarto,248,Cap. IX,De Symphyto petraeo,282,Liber quartus,198,0v,Cap XI,De alo,De alo,Liber quartus,377,Enarratio 10,"De symphyto petraeo (symphytum petraeum, consolida / bugle)",111,54,Symphyton petraeum,DCXVIII,,4.9,Σύμφυτον,SYMPHYTUM,4.9,div-553,SUMPHUTON PETRAION,w-484,4,9,σύμφυτον πετραῖον,σύμφυτον πετραῖον,Low pine
4.X,e-596,Saxifragon,,,534,Chap. XV,De la saxifrage.,,,,,,,,,,,200,0v,Cap XVIII,De sarxiphago,De sarxiphago,Liber quartus,382,Enarratio 17,"De saxifraga, saxifraga, saxifragia / saxifraga)",112,0,Saxifraga,DCXXV,,,,,,,,,,,,,
5.1,e-777,Weinstock,DMM5001,DMM50011; it775,689,Chap. I,De la vigne.,502,Cap I,De la vid,514,Libro quinto,323,Cap. I,De Vite vinifera,357,Liber quintus,255,117r,Cap I,De vinifera vitae,De vinifera vitae,Liber quintus,469,Enarratio 1,De vite vinifera,137,67,Vitis sativa,DCCCXV,,5.1,Ἄμπελος οἰνοφόρος,VITIS VINIFERA,5.1,div-735,AMPELOS OINOPHOROS,w-670,5,1,ἄμπελος οἰνοφόρος,ἄμπελος οἰνοφόρος,Grapevine
5.2,e-778,Wilder Weinstock,DMM5002,DMM50021; it776,689,Chap. II,De la vigne sauvage.,505,Cap II,De la vid saluage o labrusca,517,Libro quinto,323,Cap. II,De Labrusca seu vite sylvestri,357,Liber quintus,255,117r,Cap II,De sylvestri vite,De sylvestri vite,Liber quintus,469,Enarratio 2,De labrusca,137,67,Vitis sylvestris,DCCCXVI,,5.2,Ἄμπελος ἀγρία,LABRUSCA,5.2,div-736,AMPELOS AGRIA,w-671,5,2,ἄμπελος ἀγρία,ἄμπελος ἀγρία,Wild grapevine
5.3,e-779,Weintraube,DMM5003,DMM50031; it777,689,Chap. III,Du raisin.,506,Cap III,De las Vuas,518,Libro quinto,323,Cap. III,De Vua,357,Liber quintus,255,117r,Cap III,De vua,De vua,Liber quintus,469,Enarratio 3,De uvis,137,67,Uvae,DCCCXVII,,5.3,Σταφυλή,UVA,5.3,div-737,STAPHULE,w-672,5,3,σταφυλή,σταφυλή,Grape
5.4,e-780,Rosine,,DMM50041; it778,690,Chap. IIII,De la passerille.,506,Cap IIII,De las vuas passas,518,Libro quinto,324,Cap. IIII,De Vua passa,358,Liber quintus,256,0v,Cap IIII,De vua passa,De vua passa,Liber quintus,470,Enarratio 4,De uva passa,137,67,Vinacei,DCCCXVIII,,5.4,Σταφίς,UVA PASSA,5.4,div-738,STAPHIS,,,,,,
5.5,e-781,Oinanthe (Frucht des wilden Weinstockes),DMM5004,DMM50051; it779,691,Chap. V,De oenanthe.,507,Cap V,De la Enanthe,519,Libro quinto,324,Cap. V,De Oenanthe,358,Liber quintus,256,0v,Cap V,De oenanthe,De oenanthe,Liber quintus,470,Enarratio 5,De oenanthe,138,0,Uva oenanthe,DCCCXXI,,5.5,Οἰνάνθη,OENANTHE,5.5,div-739,OINANTHE,w-673,5,4,οἰνάνθη,οἰνάνθη,Oinanthe
5.6,e-782,Omphakion,DMM5005,DMM50061; it780,691,Chap. VI,Du verius seché au soleil.,507,Cap VI,Del omphacio Ilamado Agraz en Castilla,519,Libro quinto,325,Cap. VI,De Omphacio,359,Liber quintus,256,0v,Cap VI,De omphacio,De omphacio,Liber quintus,470,Enarratio 6,"De omphacio, idest agresta",138,0,Omphacium vitis,DCCCXXII,,5.6,Ὀμφάκιον,OMPHACIUM,5.6,div-740,OMPHACION,w-674,5,5,ὀμφάκιον,ὀμφάκιον,Omphacion
5.7,e-783,Die Eigenschaft der Weine nach ihrem Alter,DMM5006,DMM50071; it781,692,Chap. VII,De la nature du vin.,508,Cap VII,De la natura del vino,520,Libro quinto,325,Cap. VII,De Vini natura pro aetatis ratione,359,Liber quintus,257,118r,Cap VII,De vini natura,De vini natura,Liber quintus,471,Enarratio 7,De vino,138,0,Vinum,DCCCXXIII,,5.7,Οἴνου φύσις,VINI NATURA,,,,w-675,5,6,οἶνοι,οἶνοι,Wines
5.8,e-784,Nach der Farbe,,DMM50081; it782,692,Chap. VII,De la nature du vin.,,,,,,326,Cap. VIII,Pro ratione coloris,360,Liber quintus,257,118r,Cap VII,De vini natura,De vini natura,Liber quintus,471,Enarratio 7,De vino,138,0,Vini qualitas,DCCCXXIIII,,,Έκ τη̃ς χπόας,,,,,,,,,,
5.9,e-785,Nach dem Geschmack und den Zus?tzen,,DMM50091; it783,692,Chap. VII,De la nature du vin.,,,,,,326,Cap. IX,Pro saporum eorumque quae illi miscentur differentia,360,Liber quintus,257,118r,Cap VII,De vini natura,De vini natura,Liber quintus,471,Enarratio 7,De vino,138,0,Vini qualitas,DCCCXXIIII,,,Έκ τη̃ς γεύσεως καἰ τῶν μεμιγμένων,,,,,,,,,,
???,,,,DMM40862; ???,,,,432,Cap LXXXVIII,De la Alfine,444,Libro quarto,279,Cap. LXXXVII,De Alsine,313,Liber quartus,,,,,,,,,,,,,,,4.82,Ἀλσίνη,ALSINE,,,,,,,,,
1.10,e-18,Phu,DMM1011,DMM10101; it10,31,Chap. X,"De phu, ou grande valeriane.",19,Cap X,Del Phu,31,Libro primero,10,Cap. X,De Phu,44,Liber primus,29,4r,Cap X,De Phu,De phu,Liber primus,21,Enarratio 10,"De phu (valeriana, amantilla, valentiana, herba benedicta / valeriane)",5,2,Phu,X,,1.10,Φοῦ,PHU,1.10,div-11,PHOU,w-11,1,11,φοῦ,φοῦ,Cretan spikenard
1.11,e-19,Malabathron,DMM1012,DMM10111; it11,33,Chap. XI,Du malabatre.,20,Cap XI,Del Malabathro,32,Libro primero,11,Cap. XI,De Malabathro,45,Liber primus,30,0v,Cap XI,De Malabatro,De malabatro,Liber primus,22,Enarratio 11,"De malabathro (malabathrum, folium indicum)",5,2,Malabathrum,XI,,1.11,Μαλάβαθρον,MALABATHRUM,,,,w-12,1,12,μαλάβαθρον,μαλάβαθρον,Malabar
1.12,e-20,Kassia,DMM1013,DMM10121; it12,35,Chap. XII,De la canelle.,21,Cap XII,De la Cassia,33,Libro primero,11,Cap. XII,De Cassia,45,Liber primus,30,0v,Cap XII,De Casia,De casia,Liber primus,23,Enarratio 12,"De casia (casia, casia lignea, cinnamomum invalidum)",6,0,Cassia,XII,,1.12,Κασσία,CASSIA,1.12,div-12,KASSIA,w-13,1,13,κασσία,κασσία,Cassia
